ID,Aleppo,Alexandria,Algiers,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddah,Jerusalem,Khartoum,Mosul,MSA,Muscat,Rabat,Riyadh,Salt,Sanaa,Sfax,Tripoli,Tunis
87,بدي كنزة اطفال.,عاوز بلوفر أطفال.,راني حاب تريكو تع أطفال.,بدي بلوفر أطفال.,كنت عايز بلوفر اطفال.,اريد سترة مال أطفال.,اريد سترة جهال.,بدي كنزة للولاد.,نبي مالية بتاع أطفال.,عايز بلوفر اطفال.,بدي كنزة أطفال.,بغيت فانلة يهال.,بغيت لبيسة ديال الدراري الصغار.,أبا سترة اطفال.,بدي جرزة أطفال.,داير بلوفر أطفال.,اغيد سترة اطفال.,أريد جاكيت للأطفال .,أبغا سترة للأطفال.,بغيت تريكو ديال الدراري الصغار.,ابغى سترة للأطفال.,بدي بلوفر للأطفال .,أشتي سترة أطفالي.,نحب مريول للأولاد.,نبي ماليه متاع صغار.,نحب مريول متاع صغار.
91,ماشي. بكلف خمسة وتمانين سنت بالبريد العادي وتلات دولارات بالضبط إضافية للتوصيل الخاص.,أوكى. بيكلف خمسة و ثمانين سنت للإيميل العادى و ثلاثة دولار بالظبط زيادة للتوصيل الخاص.,ايه. معنتها خمسة و ثمانون سنت للبرية العادية، و تزيدلها ثلاثة دولار بالضبط باش تبعثها اكسبرس.,طيب. بكلف تمنية وخمسين سنت للبريد العادي وتلاتة دولار بالزبط اضافية للتوصيل الخاص.,ماشي. هتكلف خمسة وتمانين سنت لو بالبريد العادي وتلات دولارات بالظبط زيادة لو بالتوصيل الخاص.,ماشي. هاي تكلف خمسة وثمانين سنت للبريد العادي وتلث دولارات بالضبط إضافية للتسليم الخاص.,اوكي. البريد العادي يكلف خمسة وثمانين سنت و بس تلث دولارات إضافية زيادة للتوصيل الخاص.,أوك، بيكلف خمس و تمانين سنت للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص.,اوكي. يكلف خمسة وثمانين سنت للبريد العادي و ثلاثة دولار بالضبط زيادة للتوصيل الخاص.,اوكيه . ده بيكلف خمسه و تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص.,أوك. هاد بكلف خمسة وتمانين سنت بالبريد العادي وزيادة تلاتة دولار بالظبط للتوصيل الخاص.,اوكي. يكلف خمسة وثمانين سنت بالبريد العادي وثلاث دولارات بالضبط زيادة حق التسليم الخاص.,واخا. غادي يكلف خمسة وثمانين سنت للبريد العادي وثلاثة بالضبط ديال الدولار اضافية للتوصيل الخاص.,اوك. يكلف خمسة وتمانين سنت للأيميل العادي وزيادة تلاتة دولار بالضبط للتوصيل الخاص.,طيب. بتكلف خمسة و تمانين سنت للبريد العادي و تلات دولارات بالزبط اضافية للتوصيل الخاص.,اوكي. هو يكلف خمسة وتمنين سنت للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص.,اوكي. اتكلف خميسي وثمانين سنت للبريد الاعتيادي وثلاث دولارات بالضبط اضافية للتوصيل الخاص.,حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,انزين. وتكلف خمسة وثمانين سنتا للبريد العادي وثلاثة دولارات بالضبط إضافية للتسليم الخاص.,واخا. كايدير خمسة و تمانين دولار للبريد العادي و تلاتة دولار بالضبط زيادة للتوصيل الخاص.,طيب. تكلف خمس و ثمانين سنت للبريد العادي و ثلاث دولارات بالضبط إضافية للتوصيل الخاص.,ماشي، رح يكلف خمس و ثمانين سينت للبريد العادي، و ثلاثة دولار بالزبط اضافية للتوصيل الخاص.,تمام. يكلف خمسه وثمانين سنت للبريد العادي و ثلاثه دولار بالضبط زياده للتوصيل الخاص.,باهي. خمسة و ثمانين ألف في جواب عادي، تزيد ثلاثة دولار بالظبط باش يوصلك فيسع.,باه. حتكلفك خمسه و تمانين سنت للبريد العادي و تلاته دولار بالضبط زيادة للتوصيل الخاص.,باهي. مراسلة عادية بخمسة و ثمانين سنت وزايدة تلاثة دولارات بالضبط للمراسلة اللي من النوع لبخاص.
120,كنت بشتري هاد لو كنت محلك.,كنت هشترى دة لو كنت مكانك.,لوكان جيت في بلاصتك نشريها.,أنا كنت راح أشتريه لو كنت محلك.,لو مكانك هشتري ده.,لو اني بمكانك جان اشتريتها.,لو بمكانك جان اشتريت هذا.,كنت بشتري هيدا إذا أنا كنت محلك.,كنت حنشريه لو كنت مكانك.,لو كنت مكانك كنت صدقت.,لو كنت مكانك كنت اشتريته.,لو كنت مكانك جان بشتري هذي.,كون كنت فبلاستك نشري هادا.,لو أنا مكانك حشتريه.,لو كنت مكانك بشتريه.,كنت ح اشتري دا لو انا كنت مكانك.,لو كنتو بمكانك كان اشتغيتونو.,كنت سأشتري هذا إن كنت في مكانك ؟,أبا اشتري هذا لو حاب.,كون كنت فبلاصتك كون شريتو.,بشتري هذا اذا كنت بمكانك.,لو انا مكانك كنت اشتريته.,شا اشتري ذيه لو كنت مكانك.,انا نشريه لو كان كنت انت.,أني حنشري هادي لو كنت مكانك.,انا في بلاصتك نشريه.
129,رح ألاقي شي صعوبة بالجمارك؟,هلاقى أى صعوبة مع الجمارك؟,راني حاب نعرف ويدا يكون عندي مشكل مع الجمارك؟,راح يكون عندي أي صعوبة في التعامل مع الجمارك؟,هو انا هلاقي اى صعوبة مع الجمارك؟,هل راح اواجه صعوبات ويه الكمارك؟,راح اشوف صعوبة ويه الكمارك؟,رح يكون في شي صعوبات مع الجمارك؟,هل حيكون عندي أي صعوبه مع الجمرك؟,حالاقي مشاكل مع الجمارك؟,ممكن واجه صعوبة مع الجمارك؟,بتكون في اي صعوبات مع الجمارك؟,واش غتكون عندي شي صعوبة مع الديوانة؟,ممكن اواجه صعوبات في الجمارك؟,رح ألاقي صعوبات في الجمارك؟,ح أواجه أي صعوبات مع الجمارك؟,هل غاح اواجه اي صعوبات مع الجمارك؟,هل لديك أحذية حريمي عند أصابع القدم ؟,هل واجهت أي صعوبه مع الجمارك؟,واش غادي نلقا شي صعوبة مع الديوانا؟,هل بواجه أي صعوبة مع الجمارك؟,رح يكون عندي مشاكل مع الجمارك؟,هل شا اواجه مشاكل مع الجمارك؟,باش نقابل مشاكل مع الديوانة؟,زعمه حنلاقي صعوبات مع الجمارك؟,باش نلقى مشكلة مع الديوانة؟
130,عندك حذاء رسمي عريض؟,عندك شوز رسمية بوش واسع؟,عندكم صبابط رسمية عراض من القدام؟,عندك كندرة رسمية واسعة من عند الأصابع؟,عندك جزم رسمية بوش عريض؟,عندك احذية رسمية ببوز عريض؟,عندك احذية رسمية عريضة من منطقة الأصابع؟,عندك صبابط رسمي تبع الأصابيع العراض؟,عندك كندرة قفطان مفتوحة عند الصوابع؟,عندك جزم رسمي واسعه من قدام؟,بلاقي عندك حذاء رسمي للرجلين العراض؟,عندك جواتي رسمية حق الرجول العريضة؟,واش عندك أحذية رسمية واسعة من جيهت الصبعين؟,عندك جزم رسمية واسعة عند الأصابع؟,في عندك كندرة رسمي عريضة؟,هل عندك جزمة رسمي عريضة عند اصابع القدم؟,عندك حذاء رسمي عغيض مكان الاصابع؟,هل ستواجهني أية صعوبات في الجمارك ؟,عندك جواتي رسمية واسعة؟,واش عندك صبابط رسمية واسعة عند الصبع؟,عندك احذية رسمية واسعة عند الأصابع؟,عندك احذية رسمية واسعة عند الاصابع؟,به معك جزمه رسميه واسعه عند الاصابع؟,عندك صبابط رسمية يكونو واسعين من شيرة الصوابع؟,هل عنك كنادر رسميه واسعه من القدام؟,تبيعو صبابط رسمية يكونو واسعين من شيرة الصوابع؟
140,لا. ممكن أقترح وحدة مزدوجة للاستعمال المفرد بدالها؟ في عنا وحدة.,لأ. ممكن أقترح أوضة بسريرين لشخص واحد كحل بديل؟ إحنا عندنا واحدة.,لالا. نقترح عليك غرفة فيها زوج بناك لشخص واحد. كاينة واحدة واجدة.,لا. ممكن أقترح عليك بدالها غرفة مزدوجة تستخدمها استخدام فردي. عنا وحدة.,لا. بس ممكن اقترح بدل من كدة أوضة مزدوجة لاستخدام فرد؟ احنا عندنا واحدة.,لا. ممكن اقترح غرفة بسريرين لشخص كشي بديل؟ عدنا وحده.,لا. انا اقترح غرفة مزدوجة لاستخدام واحد افضل؟ عدنا وحدة.,لاء . بد هيك فيي إقترح أوضة بتختين لإستخدام شخص؟ عنا واحدة.,لا. بس نقدر نقترح دار مزدوجة لاستعمال واحد بدالها؟ عندنا واحدة.,لأ . ممكن انصح اوضة بسريرين يقعد فيها واحد بس؟ احنا عندنا واحده .,لاء. ممكن اقترح وحدة لشخصين للاستخدام الفردي بدالها؟ عنا وحدة.,لا. بغيت غرفة مزدوجة بس حق استخدام فردي؟ عندنا وحدة.,لا. ممكن نقترح عليك عوض هادشي غرفة بجوج فراشات لشخص؟ عندي واحدة.,لا. اقترحلك غرفة بسريرين لاستخدام شخص واحد بدال كدة؟ عندنا وحدة.,لأ. تاخد غرفة بتختين لاستعمال واحد؟ في عنا واحدة.,لا. ممكن اقترح غرفة مزدوجة لاستعمال شخص؟ عندنا واحدة.,لا، ممكن اقترح عليكم غرفة مزدوجة لاستخدام ويحد امبدالو؟ عدنه ويحدة منها.,لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,لا. ممكن أقترح غرفة مزدوجة لاستخدام شخص بدلا من ذلك؟ عندنا واحدة.,لا. نقدر نقتارح ثنائية لواحد؟ عندنا وحدة.,لا. اقدر اقترح عليك غرفة مزدوجة لاستخدام شخص واحد بدال هذا؟ متوفر عندنا.,لا . بقدر اقترح بدالها استخدام غرفة مزدوجة لاستعمال فرد؟ عنا واحدة.,لا. ممكن اقترح عليك غرفة مزدوجة ل استخدام فرد بدله؟ عندنا واحدة.,لا. تحب بيت بزوز فروشات لاستخدام شخص برك؟ عندنا وحدة حاضرة.,لا. نقدر نقترح عليك دار متاع اتنين لكن لإستخدام فردي؟ عندنا واحدة.,لا. تحب بيت فيها زوز فروشات نحسبوها لشخص برك؟ عنا وحدة.
143,بدي كيرلي قوي، إذا ممكن.,عاوز كيرلى جامد، من فضلك.,راني حاب برمانونت قوي.,أنا بدي اياه كتير مموج، لو سمحت.,كنت عاوز كيرلى كويس، لو سمحت.,اريد كيرلي قوي، رجاءً.,اريد كيرلي ضيق، بلا زحمة.,بدي كيرلي ضيق، إذا بتريد.,نبي كيرلي مشدود، لو سمحت.,عاوز كيرلي جامد، لو سمحت.,بدي كيرلي ضيق، إذا سمحت.,ابغي كيرلي ضيق، لو سمحت.,بغيت برمانونت ضيق، عافاك.,أبا شعري مجعد كثير، لو سمحت.,بدي كيرلي صغير، لو سمحت.,داير تجعيدة ضيقة، من فضلك.,اغيد كيرلي قوي، رجاءا.,أريد تمويج متقارب لشعري ، من فضلك .,أبا كيرلي قوي، من فضلك.,بيرمانونت مجهد، عافاك.,ابغى بيرم ضيق، لو سمحت.,بدي كيرلي قوي، لو سمحت.,اشتي تجعيد قوي، لو سمحت.,نحب كيرلي قوي، يعيشك.,نبي كيرلي ضيق، لو سمحت.,نحب برمانونت قوية، عيشك.
145,بدها بيرة.,هى عاوزة بيرة.,راهي حابة بيرة.,بدها خمرة.,هي عايزة بيرة.,تريد بيره.,هي تريد بيرة.,بدا بيرة .,هي تبي بيرة .,نفسها في بيرة.,بدها بيرة.,هي تبغي بير.,هي باغيا بيرة.,هيا تبا بيرة.,بدها بيرة.,دايرة بيرة.,هيه تغيد بيره.,هي تريد بيرة .,هي تبا بيره.,بغات بيرا.,تبغى بيرة.,بدي بيرم رفيع، لو سمحت .,هي تشتي بيره.,تحب وحدة بيرة.,هي تبي بيره.,تحب كعبة بيرا.
157,صباح الخير. شلونك؟,صباح الخير. عامل إيه؟,صباح الخير. واش راك؟,صباح الخير. كيف حالك؟,صباح الخير. عامل ايه؟,صباح الخير، شلونك؟,صباح الخير. شلونك؟,صباحو . كيفك؟,صباح الخير . كيف حالك؟,صباح الخير . عامل ايه؟,صباح الخير. كيفك؟,صباح الخير. شلونك؟,صباح الخير. كيف داير؟,صباح الخير، كيفك؟,صباح الخير. كيف حالك؟,صباح الخير. كيفك؟,صباح الخير. اشونك؟,صباح الخير . كيف حالك .,صباح الخير. كيف حالك؟,صباح الخير. كي داير؟,صباح الخير. كيف حالك؟,بدها بيرة؟,صباح الخير. كيف حالك؟,صباح الخير. شنحوالك؟,صباح الخير. كيف حالك؟,صباح الخير. لاباس؟
158,للأسف لازم أشوف إثبات هوية.,للأسف هحتاج أشوف بطاقة تحقيق شخصية.,سامحني لازم نطلب منك بطاقة تعريف.,أسف راح أحتاج أشوف اثبات هوية.,معلش كنت عايز اشوف تحقيق الشخصية.,اسف احتاج اشوف أي هويه تعريفية.,اسف راح احتاج اشوف هوية.,للأسف محتاج اشوف أي اثبات شخصية.,اسف اني حنضطر نشوف أي نموذج كشف الهوية.,متأسف بس محتاج أشوف أى مستند اثبات شخصية .,للأسف أنا مضطر إني شوف شي بيثبت الهوية.,مسامحة بس لازم اشوف شي يثبت الهوية.,متأسف غادي نشوف شي اثبات ديال الهوية.,معليش لازم اشوف اثبات هوية.,متأسف محتاج اني أشوف بطاقة الهوية.,آسف ح احتاج اشوف اثبات هوية.,اسف انو لازم اشوف شوية اوراق اثبات شخصية.,أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,اسف احتاج اشوف اثبات للهوية.,سمح ليا خصني نشوف شي وثيقة ديال الهوية.,اسف اني مضطر اشوف أي نوع من أنواع اثبات الهوية.,اسف اني بحاجة أشوف اثبات هوية .,أسف مضطر اطلب منك تبرز اي شي يثيت هويتك.,سامحني لازمني نطلب منك بطاقة التعريف.,معليشي نبي نشوف اي بطاقة تعريف ليك.,سامحني لازمني نشوف اوراقك.
169,إينا نوع من الصوص؟,إيه نوع الصوص؟,واش من النوع تع الصوص؟,أي نوع من الصوص؟,اي نوع صوص؟,شنو نوع الصوص؟,شنو نوع الصوص؟,أي نوع صوص؟,شن نوع الصوص؟,أى نوع صوص؟,أي نوع صوص؟,اي نوع صوص؟,شمن نوع ديال الصوص؟,اية نوع من الصوص؟,شو نوع الصوص؟,ياتو نوع من الصوص؟,اي نوع من الصوص؟,أي نوع من الملابس ؟,أي نوع من الصوص؟,إينا نوع ديال الصوص؟,أي نوع من الصوص؟,اي نوع من الصوص؟,ما هو نوع الصوص؟,شنوة نوع الصوص؟,اي نوع من الصوص؟,شنوة الصوص؟
170,هاد بارد شوي. بدك تسخنو؟,دة بارد شوية. هتسخنه؟,راهوا شوية بارد. تقدر تسخنو؟,هاد بارد شوي. ممكن تسخنه؟,ده بارد شوية. ممكن تسخنه؟,هذا بارد شويه، ممكن تحميه؟,هذا شوي بارد. ما تحميه؟,هيدا شوي بارد. فيك تسخنو؟,هضا شوية مسقع . ممكن تسخنه؟,ده ساقع شوية . ممكن تدفيه؟,هاد بارد شوي. ممكن تسخنه؟,هذي بارد شوي، ممكن تسخنه؟,هادا بارد شوية. ممكن تسخنو؟,دا شوية بارد. ممكن تدفيه؟,هدا بارد شوي. بتقدر تسخنه؟,دا بارد شوية. ممكن تسخنه؟,هذا شوية بيغد. تطيق تحمينو؟,هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟,هذا بارد نوعا ما. بتسخنه؟,هادشي بارد شوية. واخا تسخنو؟,هذا شوية بارد. تقدر تسخنه؟,هاد بارد شوي. ممكن تسخنو؟,هذا بارد شويه. عتحميه؟,أهو بارد شوية. تنجم تسخنه؟,هدا شوية مصقع. ممكن تسخنه؟,هذا بارد شوية. بش تسخنو؟
173,آسف، هاد المحل محجوز.,معلش، المكان دة محجوز.,سامحني، هاذ البلاصة محكومة.,آسف، بس هاد المكان محجوز.,معلش، المكان ده أصلاً محݘوز.,آسف، هذا المكان محجوز.,آسف، هذا المكان محجوز.,بعتذر محتاج أشوف أي بطاقة اثبات هوية.,أسف، المكان هضا محجوز .,اسف، المكان ده متاخد.,بعتذر. هالمكان محجوز.,مسامحة هالمكان مأخوذ.,متأسف، هاد البلاصة موخوذة قبل.,معليش، دا المكان مأخود اصلا.,متأسف، هدا المكان محجوز.,معليش، المكان دا محجوز.,اسف، هذا المكان محجوز من قبل.,أسف ، هذا المكان محجوز بالفعل .,اسف، بس هالمكان ماخوذه من قبل.,سمح ليا. هاد البلاصة عامرة.,اسف، هذا المكان محجوز مسبقا.,اسف، هاذ المكان محجوز أصلاً .,أسف، هذه البقعه قدي محجوزه.,سامحني، لبلاصة واخذها شكون.,معليشي، لكن المكان هدا موخود.,سامحني، فما شكون في البلاصة هاذي.
