ID,Aleppo,Alexandria,Algiers,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddah,Jerusalem,Khartoum,Mosul,MSA,Muscat,Rabat,Riyadh,Salt,Sanaa,Sfax,Tripoli,Tunis
87,بدي كنزة اطفال.,عاوز بلوفر أطفال.,حاب تريكو تع أطفال.,بدي بلوفر أطفال.,كنت عايز بلوفر اطفال.,اريد سترة مال أطفال.,اريد سترة جهال.,بدي كنزة للولاد.,نبي مالية بتاع أطفال.,عايز بلوفر اطفال.,بدي كنزة أطفال.,بغيت فانلة يهال.,لبيسة ديال الدراري الصغار.,أبا سترة اطفال.,بدي جرزة أطفال.,داير بلوفر أطفال.,اغيد سترة اطفال.,أريد جاكيت للأطفال .,أبغا سترة للأطفال.,تريكو ديال الدراري الصغار.,ابغى سترة للأطفال.,بدي بلوفر للأطفال .,أشتي سترة أطفالي.,نحب مريول للأولاد.,نبي ماليه متاع صغار.,نحب مريول متاع صغار.
91,خمسة وتمانين سنت بالبريد العادي وتلات دولارات بالضبط إضافية للتوصيل الخاص.,و ثمانين سنت للإيميل العادى و ثلاثة دولار بالظبط زيادة للتوصيل الخاص.,و ثمانون سنت للبرية العادية، و تزيدلها ثلاثة دولار بالضبط باش تبعثها اكسبرس.,تمنية وخمسين سنت للبريد العادي وتلاتة دولار بالزبط اضافية للتوصيل الخاص.,وتمانين سنت لو بالبريد العادي وتلات دولارات بالظبط زيادة لو بالتوصيل الخاص.,تكلف خمسة وثمانين سنت للبريد العادي وتلث دولارات بالضبط إضافية للتسليم الخاص.,يكلف خمسة وثمانين سنت و بس تلث دولارات إضافية زيادة للتوصيل الخاص.,و تمانين سنت للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص.,خمسة وثمانين سنت للبريد العادي و ثلاثة دولار بالضبط زيادة للتوصيل الخاص.,بيكلف خمسه و تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص.,بكلف خمسة وتمانين سنت بالبريد العادي وزيادة تلاتة دولار بالظبط للتوصيل الخاص.,خمسة وثمانين سنت بالبريد العادي وثلاث دولارات بالضبط زيادة حق التسليم الخاص.,خمسة وثمانين سنت للبريد العادي وثلاثة بالضبط ديال الدولار اضافية للتوصيل الخاص.,خمسة وتمانين سنت للأيميل العادي وزيادة تلاتة دولار بالضبط للتوصيل الخاص.,و تمانين سنت للبريد العادي و تلات دولارات بالزبط اضافية للتوصيل الخاص.,خمسة وتمنين سنت للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص.,خميسي وثمانين سنت للبريد الاعتيادي وثلاث دولارات بالضبط اضافية للتوصيل الخاص.,تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,خمسة وثمانين سنتا للبريد العادي وثلاثة دولارات بالضبط إضافية للتسليم الخاص.,و تمانين دولار للبريد العادي و تلاتة دولار بالضبط زيادة للتوصيل الخاص.,و ثمانين سنت للبريد العادي و ثلاث دولارات بالضبط إضافية للتوصيل الخاص.,خمس و ثمانين سينت للبريد العادي، و ثلاثة دولار بالزبط اضافية للتوصيل الخاص.,خمسه وثمانين سنت للبريد العادي و ثلاثه دولار بالضبط زياده للتوصيل الخاص.,ثمانين ألف في جواب عادي، تزيد ثلاثة دولار بالظبط باش يوصلك فيسع.,و تمانين سنت للبريد العادي و تلاته دولار بالضبط زيادة للتوصيل الخاص.,بخمسة و ثمانين سنت وزايدة تلاثة دولارات بالضبط للمراسلة اللي من النوع لبخاص.
120,بشتري هاد لو كنت محلك.,هشترى دة لو كنت مكانك.,جيت في بلاصتك نشريها.,كنت راح أشتريه لو كنت محلك.,لو مكانك هشتري ده.,اني بمكانك جان اشتريتها.,بمكانك جان اشتريت هذا.,بشتري هيدا إذا أنا كنت محلك.,حنشريه لو كنت مكانك.,كنت مكانك كنت صدقت.,كنت مكانك كنت اشتريته.,كنت مكانك جان بشتري هذي.,كنت فبلاستك نشري هادا.,لو أنا مكانك حشتريه.,لو كنت مكانك بشتريه.,ح اشتري دا لو انا كنت مكانك.,كنتو بمكانك كان اشتغيتونو.,سأشتري هذا إن كنت في مكانك ؟,اشتري هذا لو حاب.,كنت فبلاصتك كون شريتو.,هذا اذا كنت بمكانك.,انا مكانك كنت اشتريته.,اشتري ذيه لو كنت مكانك.,نشريه لو كان كنت انت.,حنشري هادي لو كنت مكانك.,انا في بلاصتك نشريه.
129,ألاقي شي صعوبة بالجمارك؟,أى صعوبة مع الجمارك؟,حاب نعرف ويدا يكون عندي مشكل مع الجمارك؟,يكون عندي أي صعوبة في التعامل مع الجمارك؟,انا هلاقي اى صعوبة مع الجمارك؟,راح اواجه صعوبات ويه الكمارك؟,اشوف صعوبة ويه الكمارك؟,يكون في شي صعوبات مع الجمارك؟,حيكون عندي أي صعوبه مع الجمرك؟,حالاقي مشاكل مع الجمارك؟,واجه صعوبة مع الجمارك؟,في اي صعوبات مع الجمارك؟,غتكون عندي شي صعوبة مع الديوانة؟,اواجه صعوبات في الجمارك؟,ألاقي صعوبات في الجمارك؟,أواجه أي صعوبات مع الجمارك؟,غاح اواجه اي صعوبات مع الجمارك؟,لديك أحذية حريمي عند أصابع القدم ؟,واجهت أي صعوبه مع الجمارك؟,غادي نلقا شي صعوبة مع الديوانا؟,بواجه أي صعوبة مع الجمارك؟,يكون عندي مشاكل مع الجمارك؟,شا اواجه مشاكل مع الجمارك؟,نقابل مشاكل مع الديوانة؟,حنلاقي صعوبات مع الجمارك؟,نلقى مشكلة مع الديوانة؟
130,عندك حذاء رسمي عريض؟,شوز رسمية بوش واسع؟,صبابط رسمية عراض من القدام؟,كندرة رسمية واسعة من عند الأصابع؟,جزم رسمية بوش عريض؟,احذية رسمية ببوز عريض؟,احذية رسمية عريضة من منطقة الأصابع؟,صبابط رسمي تبع الأصابيع العراض؟,كندرة قفطان مفتوحة عند الصوابع؟,جزم رسمي واسعه من قدام؟,عندك حذاء رسمي للرجلين العراض؟,جواتي رسمية حق الرجول العريضة؟,عندك أحذية رسمية واسعة من جيهت الصبعين؟,جزم رسمية واسعة عند الأصابع؟,عندك كندرة رسمي عريضة؟,عندك جزمة رسمي عريضة عند اصابع القدم؟,حذاء رسمي عغيض مكان الاصابع؟,ستواجهني أية صعوبات في الجمارك ؟,عندك جواتي رسمية واسعة؟,عندك صبابط رسمية واسعة عند الصبع؟,احذية رسمية واسعة عند الأصابع؟,احذية رسمية واسعة عند الاصابع؟,معك جزمه رسميه واسعه عند الاصابع؟,صبابط رسمية يكونو واسعين من شيرة الصوابع؟,عنك كنادر رسميه واسعه من القدام؟,صبابط رسمية يكونو واسعين من شيرة الصوابع؟
140,أقترح وحدة مزدوجة للاستعمال المفرد بدالها؟ في عنا وحدة.,أقترح أوضة بسريرين لشخص واحد كحل بديل؟ إحنا عندنا واحدة.,عليك غرفة فيها زوج بناك لشخص واحد. كاينة واحدة واجدة.,أقترح عليك بدالها غرفة مزدوجة تستخدمها استخدام فردي. عنا وحدة.,ممكن اقترح بدل من كدة أوضة مزدوجة لاستخدام فرد؟ احنا عندنا واحدة.,اقترح غرفة بسريرين لشخص كشي بديل؟ عدنا وحده.,اقترح غرفة مزدوجة لاستخدام واحد افضل؟ عدنا وحدة.,بد هيك فيي إقترح أوضة بتختين لإستخدام شخص؟ عنا واحدة.,نقدر نقترح دار مزدوجة لاستعمال واحد بدالها؟ عندنا واحدة.,ممكن انصح اوضة بسريرين يقعد فيها واحد بس؟ احنا عندنا واحده .,اقترح وحدة لشخصين للاستخدام الفردي بدالها؟ عنا وحدة.,غرفة مزدوجة بس حق استخدام فردي؟ عندنا وحدة.,نقترح عليك عوض هادشي غرفة بجوج فراشات لشخص؟ عندي واحدة.,غرفة بسريرين لاستخدام شخص واحد بدال كدة؟ عندنا وحدة.,تاخد غرفة بتختين لاستعمال واحد؟ في عنا واحدة.,ممكن اقترح غرفة مزدوجة لاستعمال شخص؟ عندنا واحدة.,اقترح عليكم غرفة مزدوجة لاستخدام ويحد امبدالو؟ عدنه ويحدة منها.,لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,أقترح غرفة مزدوجة لاستخدام شخص بدلا من ذلك؟ عندنا واحدة.,نقدر نقتارح ثنائية لواحد؟ عندنا وحدة.,اقترح عليك غرفة مزدوجة لاستخدام شخص واحد بدال هذا؟ متوفر عندنا.,بقدر اقترح بدالها استخدام غرفة مزدوجة لاستعمال فرد؟ عنا واحدة.,اقترح عليك غرفة مزدوجة ل استخدام فرد بدله؟ عندنا واحدة.,بيت بزوز فروشات لاستخدام شخص برك؟ عندنا وحدة حاضرة.,نقترح عليك دار متاع اتنين لكن لإستخدام فردي؟ عندنا واحدة.,بيت فيها زوز فروشات نحسبوها لشخص برك؟ عنا وحدة.
143,كيرلي قوي، إذا ممكن.,كيرلى جامد، من فضلك.,راني حاب برمانونت قوي.,بدي اياه كتير مموج، لو سمحت.,عاوز كيرلى كويس، لو سمحت.,اريد كيرلي قوي، رجاءً.,كيرلي ضيق، بلا زحمة.,كيرلي ضيق، إذا بتريد.,كيرلي مشدود، لو سمحت.,كيرلي جامد، لو سمحت.,كيرلي ضيق، إذا سمحت.,كيرلي ضيق، لو سمحت.,بغيت برمانونت ضيق، عافاك.,شعري مجعد كثير، لو سمحت.,كيرلي صغير، لو سمحت.,تجعيدة ضيقة، من فضلك.,اغيد كيرلي قوي، رجاءا.,تمويج متقارب لشعري ، من فضلك .,كيرلي قوي، من فضلك.,بيرمانونت مجهد، عافاك.,بيرم ضيق، لو سمحت.,كيرلي قوي، لو سمحت.,تجعيد قوي، لو سمحت.,نحب كيرلي قوي، يعيشك.,كيرلي ضيق، لو سمحت.,نحب برمانونت قوية، عيشك.
145,بدها بيرة.,هى عاوزة بيرة.,راهي حابة بيرة.,بدها خمرة.,هي عايزة بيرة.,تريد بيره.,هي تريد بيرة.,بدا بيرة .,هي تبي بيرة .,نفسها في بيرة.,بدها بيرة.,هي تبغي بير.,هي باغيا بيرة.,هيا تبا بيرة.,بدها بيرة.,دايرة بيرة.,هيه تغيد بيره.,هي تريد بيرة .,هي تبا بيره.,بغات بيرا.,تبغى بيرة.,بيرم رفيع، لو سمحت .,هي تشتي بيره.,تحب وحدة بيرة.,هي تبي بيره.,تحب كعبة بيرا.
157,صباح الخير. شلونك؟,صباح الخير. عامل إيه؟,صباح الخير. واش راك؟,صباح الخير. كيف حالك؟,صباح الخير. عامل ايه؟,صباح الخير، شلونك؟,صباح الخير. شلونك؟,صباحو . كيفك؟,الخير . كيف حالك؟,الخير . عامل ايه؟,صباح الخير. كيفك؟,صباح الخير. شلونك؟,صباح الخير. كيف داير؟,صباح الخير، كيفك؟,صباح الخير. كيف حالك؟,صباح الخير. كيفك؟,صباح الخير. اشونك؟,الخير . كيف حالك .,صباح الخير. كيف حالك؟,صباح الخير. كي داير؟,صباح الخير. كيف حالك؟,بدها بيرة؟,صباح الخير. كيف حالك؟,صباح الخير. شنحوالك؟,صباح الخير. كيف حالك؟,صباح الخير. لاباس؟
158,لازم أشوف إثبات هوية.,هحتاج أشوف بطاقة تحقيق شخصية.,لازم نطلب منك بطاقة تعريف.,راح أحتاج أشوف اثبات هوية.,كنت عايز اشوف تحقيق الشخصية.,احتاج اشوف أي هويه تعريفية.,راح احتاج اشوف هوية.,محتاج اشوف أي اثبات شخصية.,اني حنضطر نشوف أي نموذج كشف الهوية.,بس محتاج أشوف أى مستند اثبات شخصية .,أنا مضطر إني شوف شي بيثبت الهوية.,بس لازم اشوف شي يثبت الهوية.,غادي نشوف شي اثبات ديال الهوية.,لازم اشوف اثبات هوية.,محتاج اني أشوف بطاقة الهوية.,ح احتاج اشوف اثبات هوية.,انو لازم اشوف شوية اوراق اثبات شخصية.,بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .,احتاج اشوف اثبات للهوية.,ليا خصني نشوف شي وثيقة ديال الهوية.,مضطر اشوف أي نوع من أنواع اثبات الهوية.,اني بحاجة أشوف اثبات هوية .,مضطر اطلب منك تبرز اي شي يثيت هويتك.,لازمني نطلب منك بطاقة التعريف.,نبي نشوف اي بطاقة تعريف ليك.,سامحني لازمني نشوف اوراقك.
169,إينا نوع من الصوص؟,إيه نوع الصوص؟,من النوع تع الصوص؟,أي نوع من الصوص؟,اي نوع صوص؟,شنو نوع الصوص؟,شنو نوع الصوص؟,أي نوع صوص؟,شن نوع الصوص؟,أى نوع صوص؟,أي نوع صوص؟,اي نوع صوص؟,شمن نوع ديال الصوص؟,اية نوع من الصوص؟,شو نوع الصوص؟,ياتو نوع من الصوص؟,اي نوع من الصوص؟,نوع من الملابس ؟,أي نوع من الصوص؟,إينا نوع ديال الصوص؟,أي نوع من الصوص؟,اي نوع من الصوص؟,ما هو نوع الصوص؟,شنوة نوع الصوص؟,اي نوع من الصوص؟,شنوة الصوص؟
170,بارد شوي. بدك تسخنو؟,دة بارد شوية. هتسخنه؟,شوية بارد. تقدر تسخنو؟,بارد شوي. ممكن تسخنه؟,بارد شوية. ممكن تسخنه؟,بارد شويه، ممكن تحميه؟,شوي بارد. ما تحميه؟,شوي بارد. فيك تسخنو؟,شوية مسقع . ممكن تسخنه؟,ساقع شوية . ممكن تدفيه؟,بارد شوي. ممكن تسخنه؟,بارد شوي، ممكن تسخنه؟,بارد شوية. ممكن تسخنو؟,شوية بارد. ممكن تدفيه؟,بارد شوي. بتقدر تسخنه؟,بارد شوية. ممكن تسخنه؟,شوية بيغد. تطيق تحمينو؟,إلى حد ما . هل يمكن أن تقوم بتسخينه ؟,بارد نوعا ما. بتسخنه؟,بارد شوية. واخا تسخنو؟,شوية بارد. تقدر تسخنه؟,بارد شوي. ممكن تسخنو؟,هذا بارد شويه. عتحميه؟,بارد شوية. تنجم تسخنه؟,شوية مصقع. ممكن تسخنه؟,بارد شوية. بش تسخنو؟
173,آسف، هاد المحل محجوز.,معلش، المكان دة محجوز.,سامحني، هاذ البلاصة محكومة.,بس هاد المكان محجوز.,المكان ده أصلاً محݘوز.,آسف، هذا المكان محجوز.,آسف، هذا المكان محجوز.,محتاج أشوف أي بطاقة اثبات هوية.,المكان هضا محجوز .,اسف، المكان ده متاخد.,بعتذر. هالمكان محجوز.,مسامحة هالمكان مأخوذ.,هاد البلاصة موخوذة قبل.,دا المكان مأخود اصلا.,متأسف، هدا المكان محجوز.,معليش، المكان دا محجوز.,هذا المكان محجوز من قبل.,، هذا المكان محجوز بالفعل .,بس هالمكان ماخوذه من قبل.,ليا. هاد البلاصة عامرة.,هذا المكان محجوز مسبقا.,هاذ المكان محجوز أصلاً .,هذه البقعه قدي محجوزه.,سامحني، لبلاصة واخذها شكون.,لكن المكان هدا موخود.,فما شكون في البلاصة هاذي.
176,حالي. بس خرج تدق لرفيقي؟,تمام. بس ممكن تكلم صاحبى؟,بصح تقدر تعيط لصاحبي؟,تمام، بس ممكن أحكي مع صاحبي؟,كويس . بس لو معندكش مانع أكلم صاحبي؟,زين. بس ممكن تنادي صديقي؟,زين. بس تكدر تخابر صديقي؟,منيح. بس فيك تدق لرفيقي؟,تمام . بس ممكن تكلم صاحبي؟,جدا. .بس ممكن من غير مؤاخذه تكلم صاحبي؟,منيح. بس في مجال تتصل برفيقي؟,بخير. بس يصير تكلم رفيجي؟,بخير. لكن واش ممكن تتصل بصديقي؟,كويس، بس ممكن تدق على صاحبي؟,منيح. بس بتقدر تكلملي صاحبي؟,تمام. بس ممكن تتصل ب صحبى؟,مليح. بس تطيق تتصل بصديقي؟,جدية ، لكن هل تمانع في الاتصال بصديق ؟,بخير. هل تمانع اتصل بصديقي؟,بخير. و لكن واش تقدر تعيط لصاحبي؟,بخير. لكن هل تمانع بالاتصال بصديقي؟,تمام، بس ممكن تحكي مع صاحبي؟,بخير. لكن ممكن تتصل لصاحبي؟,أما تنجم تكلملي صاحبي؟,كويس. لكن لو ممكن تكلم صاحبي؟,لاباس. اما ميسالش تكلم صاحبي؟
177,شكراً، حاج هيك.,شكرا، دة كفاية.,صحا. هذا ماكان.,شكراً، هيك بكفي.,متشكر. كدة كفاية.,شكراً. هذا كافي.,اشكرك، هذا هواي.,يسلمو، بيكفي.,شكرا، هكي ساد .,ليك، ده كفاية .,شكراً. هيك بكفي.,شكراً، هذي يكفي.,شكرا، هادشي كافي.,شكراً كدا كفأية.,شكرا، هيك بكفي.,شكرا، دا كفاية.,اشكرك، هذا يكفي.,، هذا يكفي .,مشكور، كفيت ووفيت.,شكراً. باراكا.,شكرا، هذا كافي.,شكرا، بكفي .,شكرا، ذيه كفايه.,يعيشك، هاذا كل شي.,صحيت، هكي ساد.,شكرا، يزي.
184,مين صديقك المفضل؟,مين أقرب صديق ليك؟,شكون هو صاحبك الأنتيم؟,مين صاحبك المفضل؟,مين صاحبك الانتيم؟,منو افضل صديق عندك؟,منو احسن صديق عندك؟,مين صاحبك المفضل؟,من صاحبك راس؟,مين أقرب صديق ليك؟,مين أقرب صديق لئلك؟,من احسن صديق عندك؟,شكون أحسن صديق ديالك؟,مين أعز أصحابك؟,مين صاحبك المفضل؟,منو صحبك المفضل؟,منو صديقك المفضل؟,هو أفضل صديق لك ؟,منو صديقك المفضل؟,هوا اقرب صديق ديالك؟,من صديقك المفضل؟,مين أحسن صاحب الك؟,من هو أعز أصحابك؟,شكونو صاحبك بالباهي؟,صاحبك الي زي اوخيك؟,شكون اعز صديق عندك؟
