ID,Aleppo,Alexandria,Algiers,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddah,Jerusalem,Khartoum,Mosul,MSA,Muscat,Rabat,Riyadh,Salt,Sanaa,Sfax,Tripoli,Tunis
87,كنزة اطفال.,بلوفر أطفال.,تريكو تع أطفال.,بلوفر أطفال.,عايز بلوفر اطفال.,سترة مال أطفال.,سترة جهال.,كنزة للولاد.,مالية بتاع أطفال.,بلوفر اطفال.,كنزة أطفال.,فانلة يهال.,ديال الدراري الصغار.,سترة اطفال.,جرزة أطفال.,بلوفر أطفال.,سترة اطفال.,جاكيت للأطفال .,سترة للأطفال.,ديال الدراري الصغار.,سترة للأطفال.,بلوفر للأطفال .,سترة أطفالي.,مريول للأولاد.,ماليه متاع صغار.,مريول متاع صغار.
91,بالبريد العادي وتلات دولارات بالضبط إضافية للتوصيل الخاص.,للإيميل العادى و ثلاثة دولار بالظبط زيادة للتوصيل الخاص.,للبرية العادية، و تزيدلها ثلاثة دولار بالضبط باش تبعثها اكسبرس.,للبريد العادي وتلاتة دولار بالزبط اضافية للتوصيل الخاص.,بالبريد العادي وتلات دولارات بالظبط زيادة لو بالتوصيل الخاص.,سنت للبريد العادي وتلث دولارات بالضبط إضافية للتسليم الخاص.,سنت و بس تلث دولارات إضافية زيادة للتوصيل الخاص.,للإيميل العادي و تلاتي دولار بالظبط زيادة للتوصيل الخاص.,للبريد العادي و ثلاثة دولار بالضبط زيادة للتوصيل الخاص.,تمانين سنت للبريد العادي أو زيادة تلات دولارات بالظبط للبريد المخصوص.,سنت بالبريد العادي وزيادة تلاتة دولار بالظبط للتوصيل الخاص.,بالبريد العادي وثلاث دولارات بالضبط زيادة حق التسليم الخاص.,للبريد العادي وثلاثة بالضبط ديال الدولار اضافية للتوصيل الخاص.,للأيميل العادي وزيادة تلاتة دولار بالضبط للتوصيل الخاص.,للبريد العادي و تلات دولارات بالزبط اضافية للتوصيل الخاص.,للبريد العادي و تلاتة دولارات بالظبط زيادة للتسليم الخاص.,للبريد الاعتيادي وثلاث دولارات بالضبط اضافية للتوصيل الخاص.,دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .,للبريد العادي وثلاثة دولارات بالضبط إضافية للتسليم الخاص.,للبريد العادي و تلاتة دولار بالضبط زيادة للتوصيل الخاص.,للبريد العادي و ثلاث دولارات بالضبط إضافية للتوصيل الخاص.,سينت للبريد العادي، و ثلاثة دولار بالزبط اضافية للتوصيل الخاص.,للبريد العادي و ثلاثه دولار بالضبط زياده للتوصيل الخاص.,جواب عادي، تزيد ثلاثة دولار بالظبط باش يوصلك فيسع.,للبريد العادي و تلاته دولار بالضبط زيادة للتوصيل الخاص.,سنت وزايدة تلاثة دولارات بالضبط للمراسلة اللي من النوع لبخاص.
120,هاد لو كنت محلك.,دة لو كنت مكانك.,في بلاصتك نشريها.,راح أشتريه لو كنت محلك.,مكانك هشتري ده.,بمكانك جان اشتريتها.,جان اشتريت هذا.,هيدا إذا أنا كنت محلك.,لو كنت مكانك.,مكانك كنت صدقت.,مكانك كنت اشتريته.,مكانك جان بشتري هذي.,فبلاستك نشري هادا.,أنا مكانك حشتريه.,كنت مكانك بشتريه.,دا لو انا كنت مكانك.,بمكانك كان اشتغيتونو.,إن كنت في مكانك ؟,هذا لو حاب.,فبلاصتك كون شريتو.,اذا كنت بمكانك.,مكانك كنت اشتريته.,ذيه لو كنت مكانك.,لو كان كنت انت.,هادي لو كنت مكانك.,في بلاصتك نشريه.
129,شي صعوبة بالجمارك؟,صعوبة مع الجمارك؟,ويدا يكون عندي مشكل مع الجمارك؟,أي صعوبة في التعامل مع الجمارك؟,هلاقي اى صعوبة مع الجمارك؟,اواجه صعوبات ويه الكمارك؟,صعوبة ويه الكمارك؟,في شي صعوبات مع الجمارك؟,عندي أي صعوبه مع الجمرك؟,مشاكل مع الجمارك؟,صعوبة مع الجمارك؟,اي صعوبات مع الجمارك؟,عندي شي صعوبة مع الديوانة؟,صعوبات في الجمارك؟,صعوبات في الجمارك؟,أي صعوبات مع الجمارك؟,اواجه اي صعوبات مع الجمارك؟,حريمي عند أصابع القدم ؟,أي صعوبه مع الجمارك؟,نلقا شي صعوبة مع الديوانا؟,أي صعوبة مع الجمارك؟,عندي مشاكل مع الجمارك؟,اواجه مشاكل مع الجمارك؟,مشاكل مع الديوانة؟,صعوبات مع الجمارك؟,مشكلة مع الديوانة؟
130,حذاء رسمي عريض؟,رسمية بوش واسع؟,رسمية عراض من القدام؟,رسمية واسعة من عند الأصابع؟,رسمية بوش عريض؟,رسمية ببوز عريض؟,رسمية عريضة من منطقة الأصابع؟,رسمي تبع الأصابيع العراض؟,قفطان مفتوحة عند الصوابع؟,رسمي واسعه من قدام؟,حذاء رسمي للرجلين العراض؟,رسمية حق الرجول العريضة؟,رسمية واسعة من جيهت الصبعين؟,رسمية واسعة عند الأصابع؟,كندرة رسمي عريضة؟,رسمي عريضة عند اصابع القدم؟,رسمي عغيض مكان الاصابع؟,أية صعوبات في الجمارك ؟,جواتي رسمية واسعة؟,صبابط رسمية واسعة عند الصبع؟,رسمية واسعة عند الأصابع؟,رسمية واسعة عند الاصابع؟,جزمه رسميه واسعه عند الاصابع؟,يكونو واسعين من شيرة الصوابع؟,كنادر رسميه واسعه من القدام؟,يكونو واسعين من شيرة الصوابع؟
140,مزدوجة للاستعمال المفرد بدالها؟ في عنا وحدة.,بسريرين لشخص واحد كحل بديل؟ إحنا عندنا واحدة.,فيها زوج بناك لشخص واحد. كاينة واحدة واجدة.,بدالها غرفة مزدوجة تستخدمها استخدام فردي. عنا وحدة.,من كدة أوضة مزدوجة لاستخدام فرد؟ احنا عندنا واحدة.,بسريرين لشخص كشي بديل؟ عدنا وحده.,مزدوجة لاستخدام واحد افضل؟ عدنا وحدة.,فيي إقترح أوضة بتختين لإستخدام شخص؟ عنا واحدة.,دار مزدوجة لاستعمال واحد بدالها؟ عندنا واحدة.,بسريرين يقعد فيها واحد بس؟ احنا عندنا واحده .,لشخصين للاستخدام الفردي بدالها؟ عنا وحدة.,بس حق استخدام فردي؟ عندنا وحدة.,عوض هادشي غرفة بجوج فراشات لشخص؟ عندي واحدة.,لاستخدام شخص واحد بدال كدة؟ عندنا وحدة.,بتختين لاستعمال واحد؟ في عنا واحدة.,غرفة مزدوجة لاستعمال شخص؟ عندنا واحدة.,غرفة مزدوجة لاستخدام ويحد امبدالو؟ عدنه ويحدة منها.,أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .,مزدوجة لاستخدام شخص بدلا من ذلك؟ عندنا واحدة.,نقتارح ثنائية لواحد؟ عندنا وحدة.,مزدوجة لاستخدام شخص واحد بدال هذا؟ متوفر عندنا.,بدالها استخدام غرفة مزدوجة لاستعمال فرد؟ عنا واحدة.,غرفة مزدوجة ل استخدام فرد بدله؟ عندنا واحدة.,فروشات لاستخدام شخص برك؟ عندنا وحدة حاضرة.,دار متاع اتنين لكن لإستخدام فردي؟ عندنا واحدة.,زوز فروشات نحسبوها لشخص برك؟ عنا وحدة.
143,قوي، إذا ممكن.,جامد، من فضلك.,حاب برمانونت قوي.,اياه كتير مموج، لو سمحت.,كيرلى كويس، لو سمحت.,كيرلي قوي، رجاءً.,ضيق، بلا زحمة.,ضيق، إذا بتريد.,مشدود، لو سمحت.,جامد، لو سمحت.,ضيق، إذا سمحت.,ضيق، لو سمحت.,برمانونت ضيق، عافاك.,مجعد كثير، لو سمحت.,صغير، لو سمحت.,ضيقة، من فضلك.,كيرلي قوي، رجاءا.,لشعري ، من فضلك .,قوي، من فضلك.,مجهد، عافاك.,ضيق، لو سمحت.,قوي، لو سمحت.,قوي، لو سمحت.,كيرلي قوي، يعيشك.,ضيق، لو سمحت.,برمانونت قوية، عيشك.
145,بدها بيرة.,عاوزة بيرة.,حابة بيرة.,بدها خمرة.,عايزة بيرة.,تريد بيره.,تريد بيرة.,بيرة .,تبي بيرة .,في بيرة.,بدها بيرة.,تبغي بير.,باغيا بيرة.,تبا بيرة.,بدها بيرة.,دايرة بيرة.,تغيد بيره.,تريد بيرة .,تبا بيره.,بغات بيرا.,تبغى بيرة.,رفيع، لو سمحت .,تشتي بيره.,وحدة بيرة.,تبي بيره.,كعبة بيرا.
157,الخير. شلونك؟,الخير. عامل إيه؟,الخير. واش راك؟,الخير. كيف حالك؟,الخير. عامل ايه؟,الخير، شلونك؟,الخير. شلونك؟,. كيفك؟,. كيف حالك؟,. عامل ايه؟,الخير. كيفك؟,الخير. شلونك؟,الخير. كيف داير؟,الخير، كيفك؟,الخير. كيف حالك؟,الخير. كيفك؟,الخير. اشونك؟,. كيف حالك .,الخير. كيف حالك؟,الخير. كي داير؟,الخير. كيف حالك؟,بدها بيرة؟,الخير. كيف حالك؟,الخير. شنحوالك؟,الخير. كيف حالك؟,الخير. لاباس؟
158,أشوف إثبات هوية.,أشوف بطاقة تحقيق شخصية.,نطلب منك بطاقة تعريف.,أحتاج أشوف اثبات هوية.,عايز اشوف تحقيق الشخصية.,اشوف أي هويه تعريفية.,احتاج اشوف هوية.,اشوف أي اثبات شخصية.,نشوف أي نموذج كشف الهوية.,أشوف أى مستند اثبات شخصية .,إني شوف شي بيثبت الهوية.,لازم اشوف شي يثبت الهوية.,نشوف شي اثبات ديال الهوية.,اشوف اثبات هوية.,اني أشوف بطاقة الهوية.,احتاج اشوف اثبات هوية.,اشوف شوية اوراق اثبات شخصية.,أن أطلع على أي مستند لتحديد الهوية .,اشوف اثبات للهوية.,نشوف شي وثيقة ديال الهوية.,أي نوع من أنواع اثبات الهوية.,بحاجة أشوف اثبات هوية .,منك تبرز اي شي يثيت هويتك.,نطلب منك بطاقة التعريف.,نشوف اي بطاقة تعريف ليك.,لازمني نشوف اوراقك.
169,نوع من الصوص؟,نوع الصوص؟,النوع تع الصوص؟,نوع من الصوص؟,نوع صوص؟,نوع الصوص؟,نوع الصوص؟,نوع صوص؟,نوع الصوص؟,نوع صوص؟,نوع صوص؟,نوع صوص؟,نوع ديال الصوص؟,نوع من الصوص؟,نوع الصوص؟,نوع من الصوص؟,نوع من الصوص؟,من الملابس ؟,نوع من الصوص؟,نوع ديال الصوص؟,نوع من الصوص؟,نوع من الصوص؟,هو نوع الصوص؟,نوع الصوص؟,نوع من الصوص؟,شنوة الصوص؟
170,شوي. بدك تسخنو؟,بارد شوية. هتسخنه؟,بارد. تقدر تسخنو؟,شوي. ممكن تسخنه؟,شوية. ممكن تسخنه؟,شويه، ممكن تحميه؟,بارد. ما تحميه؟,بارد. فيك تسخنو؟,مسقع . ممكن تسخنه؟,شوية . ممكن تدفيه؟,شوي. ممكن تسخنه؟,شوي، ممكن تسخنه؟,شوية. ممكن تسخنو؟,بارد. ممكن تدفيه؟,شوي. بتقدر تسخنه؟,شوية. ممكن تسخنه؟,بيغد. تطيق تحمينو؟,ما . هل يمكن أن تقوم بتسخينه ؟,نوعا ما. بتسخنه؟,شوية. واخا تسخنو؟,بارد. تقدر تسخنه؟,شوي. ممكن تسخنو؟,بارد شويه. عتحميه؟,شوية. تنجم تسخنه؟,مصقع. ممكن تسخنه؟,شوية. بش تسخنو؟
173,هاد المحل محجوز.,المكان دة محجوز.,هاذ البلاصة محكومة.,هاد المكان محجوز.,ده أصلاً محݘوز.,هذا المكان محجوز.,هذا المكان محجوز.,أشوف أي بطاقة اثبات هوية.,هضا محجوز .,المكان ده متاخد.,هالمكان محجوز.,هالمكان مأخوذ.,البلاصة موخوذة قبل.,المكان مأخود اصلا.,هدا المكان محجوز.,المكان دا محجوز.,المكان محجوز من قبل.,هذا المكان محجوز بالفعل .,هالمكان ماخوذه من قبل.,هاد البلاصة عامرة.,المكان محجوز مسبقا.,المكان محجوز أصلاً .,البقعه قدي محجوزه.,لبلاصة واخذها شكون.,المكان هدا موخود.,شكون في البلاصة هاذي.
176,بس خرج تدق لرفيقي؟,بس ممكن تكلم صاحبى؟,تقدر تعيط لصاحبي؟,بس ممكن أحكي مع صاحبي؟,بس لو معندكش مانع أكلم صاحبي؟,بس ممكن تنادي صديقي؟,بس تكدر تخابر صديقي؟,بس فيك تدق لرفيقي؟,. بس ممكن تكلم صاحبي؟,ممكن من غير مؤاخذه تكلم صاحبي؟,بس في مجال تتصل برفيقي؟,بس يصير تكلم رفيجي؟,لكن واش ممكن تتصل بصديقي؟,بس ممكن تدق على صاحبي؟,بس بتقدر تكلملي صاحبي؟,بس ممكن تتصل ب صحبى؟,بس تطيق تتصل بصديقي؟,لكن هل تمانع في الاتصال بصديق ؟,هل تمانع اتصل بصديقي؟,لكن واش تقدر تعيط لصاحبي؟,لكن هل تمانع بالاتصال بصديقي؟,بس ممكن تحكي مع صاحبي؟,لكن ممكن تتصل لصاحبي؟,تنجم تكلملي صاحبي؟,لكن لو ممكن تكلم صاحبي؟,اما ميسالش تكلم صاحبي؟
177,حاج هيك.,دة كفاية.,هذا ماكان.,هيك بكفي.,كدة كفاية.,هذا كافي.,هذا هواي.,يسلمو، بيكفي.,هكي ساد .,ده كفاية .,هيك بكفي.,هذي يكفي.,هادشي كافي.,كدا كفأية.,هيك بكفي.,دا كفاية.,هذا يكفي.,هذا يكفي .,كفيت ووفيت.,شكراً. باراكا.,هذا كافي.,بكفي .,ذيه كفايه.,هاذا كل شي.,هكي ساد.,شكرا، يزي.
184,صديقك المفضل؟,أقرب صديق ليك؟,هو صاحبك الأنتيم؟,صاحبك المفضل؟,صاحبك الانتيم؟,افضل صديق عندك؟,احسن صديق عندك؟,صاحبك المفضل؟,صاحبك راس؟,أقرب صديق ليك؟,أقرب صديق لئلك؟,احسن صديق عندك؟,أحسن صديق ديالك؟,أعز أصحابك؟,صاحبك المفضل؟,صحبك المفضل؟,صديقك المفضل؟,أفضل صديق لك ؟,صديقك المفضل؟,اقرب صديق ديالك؟,صديقك المفضل؟,أحسن صاحب الك؟,هو أعز أصحابك؟,صاحبك بالباهي؟,الي زي اوخيك؟,اعز صديق عندك؟
187,الأول هو عطلة وطنية مصممة للتوعية بصحة الناس.,من أكتوبر هو عيد قومى مصمم لتحسين صحة الناس.,أكتوبر، هو نهار عطلة باش نشجعو الحياة الصحية.,عطلة وطنية عملوه عشان يرفعوا مستوى الصحة عند الناس.,أكتوبرعيد وطني معمول علشان التوعية بتحسين صحة الناس.,الأول هوه عيد وطني يهدف الى تعزيز صحة الناس.,تشرين الأول عطلة وطنية حتى تتحسن صحة الناس.,الأول هوي نهار عطلة عالمي بيهدف لتعزيز صحة البشر.,عشرة هو عيد وطني مصمم عشان يشجع صحة الناس.,عشرة اكتوبر معمول علشان يحسن صحة الناس .,الأول هوة عطلة رسمية مخصصة للتوعية بتحسين صحة الشعب.,اكتوبر هو عطلة وطنية مسوينها عشان يشجعون صحة الناس.,هو عطلة وطنية كتهدف لتعزيز الصحة ديال الشعب.,أكتوبر هو أجازة وطنية عشان يثقفو الناس عن الصحة.,العاشر من اكتوبر هو يوم وطني مخصص للتوعية بصحة الناس.,أكتوبر هو عطلة قومية مصممة لتحسين صحة الناس.,الاول هو عطلة وطنيي هدفا تعزز الصحة مال الشعب.,من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .,اكتوبر عطلة وطنية عشان تعزيز صحة الشعب.,هو عيد وطني مديور على قبل صحة الناس.,من أكتوبر هو يوم وطني وضع للتوعية بصحة الناس.,عشرة هوه عطلة رسمية بهدف تعزيز صحة الشعب .,هو اجازه وطنيه عملوها عسب يشجعو الناس يهتمو بصحتهم.,أوكتوبر، يوم وطني باش نشجع على حياة صحية.,أكتوبر عطلة رسميه صممت لتشجيع علي صحة الناس.,هو يوم وطني الهدف منو تدعيم صحة العباد.
192,أطلع تحت الطبون؟,أدور تحت الكبوت؟,نشوف تحت الكابو؟,أشيك تحت غطا الموتور؟,ابصلك تحت الكبوت؟,جوه البنيد مالت السيارة؟,جوه البنيد مالت السيارة؟,نبص تحت غطا السيارة؟,نشوف تحت الكوفينو؟,ابص تحت الكبوت؟,افحص تحت الطبون؟,اجيك تحت البانيت؟,من تحت الغطى ديال الموطور؟,اشيك تحت الكبوت؟,أفحص تحت غطا السيارة؟,دايرني اتحقق تحت غطا العربية؟,تحت الغطا مال السيارة؟,أن افحص موتور السيارة ؟,مني افحص تحت صندوق السيارة؟,نقلب تحت الكوفر؟,افحص تحت الكبوت؟,أفحص تحت غطا المحرك؟,افحص لك الطبلون؟,نثبت تحت الكبوت؟,نشوف تحت الكوفينو؟,نشوف تحت الكبوت؟
206,تساعدني ألاقي شنتايتي؟,ألاقى شنطة السفر بتاعتى؟,باش نصيب الحقيبة تاعي؟,ألاقي شنتة سفري؟,معايا على الشنطة بتاعتي؟,ادور على الجنطة مالتي؟,حتى الكى جنطتي؟,تساعدني لاقي شنطتي؟,تساعدني نلقى شنطتي؟,تساعدني الاقي شنطتي؟,لاقي شنتاية سفري؟,تساعدني ادور شنطتي؟,نلقي الشانطة ديال السفر ديالي؟,معاية على شنطتي؟,تساعدني ألاقي شنتتي؟,تساعدني ألقى شنطتي؟,القي جنطة السفر مالتي؟,تساعدني في الوصول إلى حقيبتي ؟,تساعدني اندور شنطة السفر؟,نقلب على الباليزا ديالي؟,بالعثور على بدلتي؟,تساعدني الاقي شنتتي؟,تساعدني القى شنطتي؟,باش نلقى الفليزة؟,ندور علي شنطتي؟,بش نلقى فاليجتي؟
221,ترتيبات سلفاً؟,استعدادات من بدرى؟,كل الترتيبات من قبل؟,إتطور الترتيبات؟,عملت الترتيبات مقدماً؟,ترتيبات بشكل مسبق؟,تسوي ترتيبات مقدماً؟,الترتيبات من قبل؟,الترتيبات قبل؟,مقدما نجهز الترتيبات؟,تعمل الترتيبات سلفاً؟,الترتيبات من قبل؟,تدير الترتيبات مسبقا؟,الترتيبات قبل؟,الترتيبات قبل بوقت؟,تعمل ترتيبات مقدما؟,تعمل ترتيبات مسبقا؟,بعمل الترتيبات مقدماً ؟,الترتيبات من قبل؟,دير الترتيبات مسبقاً؟,ترتيبات مبدئيا؟,تعمل الترتيبات مسبقا؟,تعمل التجهيزات مقدما؟,كل الأمور من الأول؟,بتدير ترتيباتك مسبق؟,اعمل التحضيرات اللازمة بالمسبق؟
238,أتساعد. شكراً إلك.,حد بيساعدنى. شكرا.,تهلاو فيا. صحا.,بساعدني، شكراً الك.,حد بيساعدني. متشكر.,على مساعده. شكراً.,حد يساعدني. اشكرك.,حدا بيساعدني. يسلمو.,يساعد فيا . شكرا.,بيساعدني. شكرا .,عم يساعدني. شكراً.,احصل مساعدة. شكراً.,كيساعدني. شكرا ليك.,قاعد يساعدني، شكراً.,بساعدوني. شكرا الك.,بيساعدني. شكرا ليك.,على مساعدة، اشكرك.,المساعدة ، شكراً لك .,شخص بيساعدني، شكرا.,لي معاوني. شكراً.,يساعدني، شكرا لك.,عم يساعدني. شكرا الك .,احد بيساعدني. شكرا.,بروحي. يعيشك.,حد ساعدني. صحيت.,لاهي بيا. عيشك.
